 13043   D:   (a) LTT 1107.  Companion is LTT 1106, 10.52V,
 13043   D:   (b) +1.24(B-V), +1.23(U-B), at 84", 339~, CPM.
 13136   C:   (a) Tabulated V is mag. of var. at max.;
 13136   C:   (b) Nicolet 7.75V, +2.24(B-V), +2.35(U-B).
 13136   S:   (a) M1.0-M3.5Iab-Ib.
 13136   Var: (a) KK Per.  Lc, 6.6-7.78V.
 13136   G:   (a) Member h and @cPersei.
 13403   Var: (a) Either component A or B is variable by
 13403   Var: (b) 0.5m, short period.
 13403   RV:  (a) -15 to -34k/s.
 13403   D:   (a) Component B is +56~446, 8.6v G0.
 13435   S:   (a) Also classified K1III.
 13579   C:   (a) Other determinations of UBV, 7.07 to
 13579   C:   (b) 7.19V, 0.86-0.91(B-V), 0.57 to 0.70(U-B).
 13579   D:   (a) Component B is BD +66~193.
 14082   D:   (a) Component B, 7.77V, +0.615(B-V),
 14082   D:   (b) +0.08(U-B), G2V.  CPM.
 14082   Dyn: (a) ".017.
 14134   Var: (a) Rufener suspected var.
 14134   G:   (a) H Per 1057.  NGC 869.1057
 14143   Var: (a) Rufener suspected var.
 14143   G:   (a) H Per 1162.  NGC 869.1162.
 14322   C:   (a) V ranges from 6.74 to 6.86, (B-V) from
 14322   C:   (b) +0.29 to +0.35, (U-B) from -0.28 to
 14322   C:   (c) -0.34, and (R-I) from +0.16 to +0.24.
 14433   C:   (a) V ranges from 6.37 to 6.44V.
 14433   G:   (a) NGC 884.2178.
 14542   Var: (a) NSV 806.  Amp. 0.08V.
 14542   G:   (a) NGC 884.2621.
 14817   Var: (a) V559 Cas.  E, primary amp. 0.22V,
 14817   Var: (b) secondary 0.20V.  Uncertain which
 14817   Var: (c) component of ADS 1833 is the eclipsing
 14817   Var: (d) binary, but @Dm = 0.26V.  The bright
 14817   Var: (e) visual companion at only 0.25".
 14817   SB:  (a) ADS 1833A is SB1, 1.58d.
 14817   D:   (a) 7.5,8.0v, 581.861y, e 0.613, a 0.682", i 47~.
 14817   Dyn: (a) ".008.
 14817   G:   (a) Near HII 18, IC 1795.
 14882   D:   (a) 7.6,7.9v F8, 110.5y, e 0.48, a 0.640",
 14882   D:   (b) i 101~.  Retrograde motion.
 14882   Dyn: (a) ".011.
 14914   S:   (a) Also classified K0V.
 14914   RV:  (a) +12.0 to 22.7k/s.
 15165   Var: (a) VW Ari.  ADS 15164A.  @dSct, amp.
 15165   Var: (b) 0.07V.  About 2.5h.  0.149d, variable
 15165   Var: (c) amplitude; and 0.089d, constant amplitude.
 15165   D:   (a) The primary may be a horizontal branch
 15165   D:   (b) star; if so, it is the brightest known.
 15165   D:   (c) Component B = BD +9~372, HD 15164, 8.33V,
 15165   D:   (d) F0, PM +.031",-.030".  Component C, 11.3v
 15165   D:   (e) at 62".  Component A, a metal-poor @dSct
 15165   D:   (f) star; component B is metal-normal.
 15228   N:   (a) 25 Ari in Cet.
 15497   Var: (a) V425 Per.  Microvariable in V.  Amp. 0.12V.
 15497   RV:  (a) -35.4 to -59k/s.
 15793   Var: (a) TV Hor.  SRb.  6.74 to 6.89V, +1.55 to
 15793   Var: (b) +1.65(B-V), +1.53 to +1.62(U-B), 5.05
 15793   Var: (c) to 5.23R, +1.31 to +1.35(R-I)$E.  About 30d.
 16141   N:   (a) 79 Cet.
 16448   RV:  (a) -15 to -26.0k/s.
 16505   RV:  (a) -49.7 to -69.4k/s.
 16626   S:   (a) Also classified F2V.
 16626   G:   (a) NGC 1027.1.
 16694AB D:   (a) AB nearly equal components, 7.5,7.8v;
 16694AB D:   (b) C, 9.47V, +0.25(B-V), +0.11(U-B),
 16694AB D:   (c) A7IV, at 66".
 16694AB Dyn: (a) ".005.
 16723   S:   (a) Metallic-line star also classified F0IV.
 16855   G:   (a) Member Hyades Group.
 17086   G:   (a) HII 26.
 17245/6 RV:  (a) vsini for 17245 = 80k/s; for 17246, <=50k/s.
 17332   D:   (a) ADS 2122AB, 7.4,8.2v, @DV = 0.69,
 17332   D:   (b) @D(B-V) = 0.17, @D(U-B) = 0.08, 720y,
 17332   D:   (c) e 0.77, a 2.913", i 114~.  Also
 17332   D:   (d) occultation binary.  Component B, PM
 17332   D:   (e) +.098",-.145".
 17332   Dyn: (a) ".036.
 17433   Var: (a) VY Ari.  BY Dra, 6.834-7.013V; +0.929
 17433   Var: (b) to +0.983 (B-V); +0.604 to +0.661
 17433   Var: (c) (U-B).  7.854d and 43.9d.
 17505   S:   (a) Also classified Oe5V and O7.5.
 17505   G:   (a) IC 1848.10, HII 26.
 17895   Var: (a) RR Eri.  SRb, amp. 1.2p, 97d.  6.93 to
 17895   Var: (b) 7.54V, +1.55 to +1.67(B-V), +1.19 to
 17895   Var: (c) +1.52(U-B), +1.50 to +1.67(R-I)$E.
 17895   G:   (a) Old disc population.
 18352   S:   (a) Also classified B2III.
 18352   RV:  (a) -1.5 to -18k/s.
 18391   C:   (a) Another determination of V, 6.978.
 18391   S:   (a) Also classified G0Ia.
 18391   Var: (a) Gradual increase in brightness.
 18391   Var: (b) Microvariable in colors.
 18391   RV:  (a) One early obs, -33k/s; two later -44
 18391   RV:  (b) and -46k/s.
 18757   S:   (a) Also classified G2IV.
 18757   RV:  (a) Mean values from different sources
 18757   RV:  (b) range from -3 to -9.4k/s.
 18803   N:   (a) 51 Ari.
 19243   Var: (a) NSV 1048.  Amp. 0.31V.
 19467   G:   (a) Probable member Wolf 630 Group.
 19624   G:   (a) Mel 20.145.  @aPer Cluster.
 19820   S:   (a) O9.3IV+O9.IV; also variously
 19820   S:   (b) classified O9III, O8, O9IV, O9V,
 19820   S:   (c) O8.5III((N)), B0II.
 19820   Var: (a) CC Cas.  EA, 7.59-7.74B, 3.36897d.
 19820   Var: (b) Secondary minimum 7.68B.  Variable
 19820   Var: (c) radio emission at 2695 and 8055 MHz.
 19820   SB:  (a) 3.3690d, e 0.10, K$1 141.7k/s, K$2
 19820   SB:  (b) 291.8k/s, V$0-4.2k/s, m$1sin3i 18.9,
 19820   SB:  (c) m$2sin3i 9.18, a$1sini 6.53, a$2sini 13.5.
 19820   G:   (a) HII 29.
 20060   D:   (a) Component B, 10.7v at 43", 40~ is CPD
 20060   D:   (b) -64~231.
 20301   Var: (a) TZ For.  E, amp., 0.28u, 0.25v, 0.21b
 20301   Var: (b) and 0.19y.  37.805d, possibly 75.61d.
 20301   Var: (c) Primary eclipse may last 24h.
 20301   Var: (d) Alternate possible periods 50.46d,
 20301   Var: (e) and 44.18d.
 20301   RV:  (a) Period 40-50d.
 20407   Var: (a) Suspected Am variable: UBV values
 20407   Var: (b) range from 6.67 to 6.92V, +0.32 to
 20407   Var: (c) +0.58(B-V), 0.00 to +0.19(U-B), and
 20407   Var: (d) +0.14 to +0.19 (R-I).
 20536   RV:  (a) -8.3 and +15k/s.  Objective prism RV +15k/s.
 20557   M:   (a) Magnitude or identification in A&A
 20557   M:   (b) Supp 43, 127, 1981, questioned;
 20557   M:   (c) CPD gives 8.0v, HD gives 8.8.
